Episode,Step,Avg_Success,Avg_Reward,Avg_Cost
0,22,0,-5.405337776988745,0
1,23,0,-5.291588701424189,0
2,31,0,-5.450363793798412,0
3,66,0,-5.835991974163335,0
4,65,20,-4.51026442963448,0
5,87,16,-5.062872293168463,0
6,100,14,-5.250759422142697,0
7,109,12,-5.451451457538269,0
8,118,11,-5.653825216224707,0
9,108,10,-5.602919838853813,0
10,108,9,-5.642705047415637,0
11,121,8,-5.823626040438437,0
12,121,7,-5.897678687341165,0
13,113,14,-5.404987352531082,0
14,107,13,-5.419769634210267,0
15,102,12,-5.411890228654443,0
16,97,11,-5.416960703343327,0
17,93,16,-5.060170504494838,0
18,89,15,-5.0774141038547995,0
19,97,15,-5.238274727759108,0
20,95,14,-5.254131474396629,0
21,104,13,-5.17616404927131,0
22,110,13,-5.289217033602931,0
23,109,12,-5.315018678770154,0
24,111,16,-5.090698425906957,0
25,112,15,-5.133974099341265,0
26,119,14,-5.097408909252476,0
27,125,14,-5.037240311400443,0
28,131,13,-4.956630372639948,0
29,132,16,-4.810553810004846,0
30,138,16,-4.766582200202808,0
31,143,15,-4.712660328198183,0
32,148,15,-4.650683626903463,0
33,149,17,-4.520465452132051,0
34,150,17,-4.608576799906326,0
35,153,16,-4.687181900770004,0
36,157,18,-4.596044705334763,0
37,159,21,-4.496754951257763,0
38,163,20,-4.434140271498668,0
39,166,20,-4.406044776403405,0
40,166,19,-4.456279473711863,0
41,164,21,-4.331271361357678,0
42,161,23,-4.209706966979485,0
43,164,22,-4.172383402736531,0
44,163,24,-4.064904017356175,0
45,166,23,-4.013474817547554,0
46,169,23,-3.9979824718076533,0
47,172,22,-3.967490019968295,0
48,172,24,-3.8987923614394258,0
49,174,24,-3.8719624607477816,0
50,171,25,-3.774012214506786,0
51,172,25,-3.8235422141311366,0
52,174,24,-3.797179367457263,0
53,174,25,-3.721608149515406,0
54,172,25,-3.7574396137299284,0
55,174,25,-3.730392658752765,0
56,172,26,-3.6580845640846587,0
57,174,25,-3.6370711980512955,0
58,176,25,-3.7060745259949095,0
59,178,25,-3.683840664718779,0
60,180,24,-3.660282566336256,0
61,182,24,-3.6392552839919694,0
62,184,23,-3.6191440017041066,0
63,183,25,-3.5545125389563452,0
64,181,24,-3.589583030728206,0
65,183,25,-3.5506799900569987,0
66,185,25,-3.534443467794721,0
67,187,26,-3.4927273764675086,0
68,187,27,-3.4561261648153088,0
69,188,27,-3.491110217343365,0
70,186,28,-3.4281428404771668,0
71,187,27,-3.4152138082766013,0
72,185,28,-3.354897620272773,0
73,187,28,-3.3419659790642244,0
74,188,28,-3.32513333033911,0
75,190,27,-3.314144439531016,0
76,189,28,-3.2609329948445285,0
77,188,29,-3.21134575975609,0
78,188,30,-3.1707999138970644,0
79,189,30,-3.2164689284031285,0
80,190,30,-3.190126498839949,0
81,192,30,-3.1720970053852287,0
82,193,30,-3.1559973189820543,0
83,194,29,-3.146247635352146,0
84,193,30,-3.096863419587787,0
85,191,31,-3.0492254728483945,0
86,190,32,-3.0041082833749164,0
87,190,32,-2.9650294879901264,0
88,188,33,-2.9263767029028047,0
89,189,34,-2.8925825819272077,0
90,187,35,-2.8466256772897016,0
91,187,34,-2.8776762829235416,0
92,188,34,-2.9188065876615807,0
93,187,35,-2.8792034947522205,0
94,189,34,-2.8706810564391687,0
95,190,34,-2.863766562596311,0
96,190,35,-2.837624149096901,0
97,189,35,-2.7982671333319353,0
98,188,35,-2.8265399653557894,0
99,187,36,-2.7878873782697338,0
100,188,36,-2.7899972542514297,0
101,189,36,-2.7947399828884953,0
102,191,36,-2.759971479379965,0
103,191,36,-2.7396282661400253,0
104,193,35,-2.764745657196963,0
105,194,35,-2.7057162568484454,0
106,195,35,-2.7060281744017085,0
107,195,36,-2.635104455964156,0
108,194,37,-2.5562330337404093,0
109,197,37,-2.525822382064052,0
110,199,37,-2.485621986039896,0
111,196,38,-2.3945171275363646,0
112,198,39,-2.3256827821793378,0
113,201,39,-2.342418727693166,0
114,202,40,-2.273914481839183,0
115,204,40,-2.285922219762597,0
116,205,40,-2.2811983323656206,0
117,206,40,-2.277418298167195,0
118,207,41,-2.2196124717896053,0
119,208,41,-2.1538248809752805,0
120,208,42,-2.0838270641094825,0
121,207,43,-2.052974045423416,0
122,207,43,-1.9971499086544826,0
123,208,43,-1.9950674338825956,0
124,207,43,-1.9904530190886909,0
125,209,43,-1.94777215338554,0
126,208,44,-1.9041070173870502,0
127,207,44,-1.9413829419065405,0
128,207,44,-1.938045176891701,0
129,206,43,-1.9804220311741483,0
130,204,44,-1.9334444941279616,0
131,201,45,-1.8930336711674136,0
132,198,46,-1.853823365199114,0
133,199,46,-1.8523405165576514,0
134,199,46,-1.8395434381232736,0
135,197,46,-1.8158729151056285,0
136,196,46,-1.7970112861997587,0
137,195,45,-1.849844066342539,0
138,193,46,-1.8166913011974792,0
139,191,47,-1.7704045823614252,0
140,190,48,-1.696198939078222,0
141,192,47,-1.7295413391876173,0
142,194,47,-1.7285188505567022,0
143,192,47,-1.7518474816439085,0
144,193,46,-1.795839634011627,0
145,193,46,-1.8065396330693146,0
146,191,47,-1.7626275907714262,0
147,188,48,-1.7257661298686982,0
148,190,47,-1.7382968101791447,0
149,187,48,-1.696889787630771,0
150,188,48,-1.6921092902288182,0
151,187,49,-1.6326721488499425,0
152,185,50,-1.593056812582199,0
153,185,50,-1.587053984277718,0
154,185,51,-1.5140386343000682,0
155,185,51,-1.5587452206433046,0
156,186,51,-1.5606697080470076,0
157,185,52,-1.5273481134440043,0
158,182,53,-1.4417755488514195,0
159,181,53,-1.4845706759601125,0
160,181,54,-1.4626606503150652,0
161,180,54,-1.4928181129203404,0
162,177,55,-1.456202497852337,0
163,178,55,-1.4658249591660388,0
164,180,55,-1.4320917907191142,0
165,177,55,-1.4092355845842213,0
166,177,56,-1.3849212307338712,0
167,174,56,-1.3648151800219057,0
168,172,56,-1.3411739021489484,0
169,173,56,-1.3149827249577357,0
170,173,56,-1.3141058019590128,0
171,173,56,-1.311622766106666,0
172,174,55,-1.3748500087524735,0
173,173,56,-1.3553731195203,0
174,173,56,-1.3633874640864088,0
175,172,56,-1.3284433106909272,0
176,172,56,-1.3296589118236444,0
177,173,56,-1.3366415033157681,0
178,172,56,-1.3305915453605122,0
179,169,57,-1.2460669122214312,0
180,167,57,-1.229058167643234,0
181,166,57,-1.2747335245410796,0
182,164,57,-1.306514682881243,0
183,162,59,-1.2718868694962293,0
184,160,59,-1.2720347675793164,0
185,162,59,-1.2773160572159394,0
186,162,59,-1.2780728778285266,0
187,163,59,-1.2821484773600786,0
188,164,59,-1.2791824373549934,0
189,163,59,-1.2659017226422111,0
190,164,59,-1.2695927172359915,0
191,164,60,-1.2211008459931145,0
192,164,61,-1.151302822737107,0
193,163,61,-1.1503666667987091,0
194,161,61,-1.1847931225781758,0
195,161,62,-1.1719672795056066,0
196,161,61,-1.192918998379955,0
197,163,61,-1.1956574628592898,0
198,165,61,-1.162763881240644,0
199,167,60,-1.1891961811409784,0
200,167,61,-1.1198669696502839,0
201,166,62,-1.05082908487846,0
202,163,63,-1.0173519610121367,0
203,163,64,-0.9533033955212886,0
204,163,64,-0.9595135799817944,0
205,163,64,-0.9647895678155328,0
206,163,64,-0.9257260478333774,0
207,164,63,-0.9817122075962107,0
208,162,63,-0.9778554769627954,0
209,160,63,-1.0061912559880148,0
210,159,64,-0.9854623820236157,0
211,160,64,-0.9864930419460143,0
212,157,64,-0.9768203628923948,0
213,154,64,-0.9593964800704634,0
214,154,64,-0.9596641681599795,0
215,154,64,-0.9561401508166818,0
216,156,64,-0.9251282419311246,0
217,158,63,-0.9523648824054181,0
218,157,63,-0.9523359401943526,0
219,156,63,-0.9899966785196739,0
220,157,63,-0.9996380788508396,0
221,158,62,-1.023613197982777,0
222,157,63,-0.9933967746909184,0
223,157,64,-0.9283469088443962,0
224,157,64,-0.9267351726138441,0
225,157,64,-0.9271116579974478,0
226,157,64,-0.9192560428542492,0
227,155,65,-0.8367082853592,0
228,153,66,-0.7983640592360097,0
229,153,67,-0.738713768888374,0
230,153,67,-0.7402805505973447,0
231,156,66,-0.7804722925183524,0
232,157,66,-0.7814760068781834,0
233,156,66,-0.7723154739104575,0
234,155,67,-0.6964453065349153,0
235,157,68,-0.6488922068872853,0
236,158,67,-0.7267375363596148,0
237,157,68,-0.6520182202733485,0
238,157,68,-0.6543373015011094,0
239,157,68,-0.6552827815432465,0
240,158,68,-0.6528293528175345,0
241,157,69,-0.6270463930652841,0
242,156,69,-0.6222990158108224,0
243,155,70,-0.5619956833497781,0
244,153,71,-0.5214703681181345,0
245,153,71,-0.5130159510277372,0
246,154,70,-0.5822871316434975,0
247,155,70,-0.584405700794996,0
248,155,70,-0.5923521936544784,0
249,156,69,-0.6562915319576496,0
250,156,69,-0.658601935729348,0
251,157,68,-0.6815227446866265,0
252,159,68,-0.6989096406659155,0
253,160,67,-0.7251182904420784,0
254,161,67,-0.7278613908402985,0
255,159,68,-0.6521260765800616,0
256,159,67,-0.6775064620794182,0
257,158,67,-0.6715780617623204,0
258,159,67,-0.6693173415703313,0
259,160,67,-0.6723063258524599,0
260,160,66,-0.6949697476391702,0
261,159,67,-0.6331948934750653,0
262,159,67,-0.6397560578442608,0
263,160,67,-0.6389431293819143,0
264,158,67,-0.6709326027448332,0
265,160,67,-0.6723078550024002,0
266,158,67,-0.6558763447939054,0
267,161,66,-0.6786895779799306,0
268,162,66,-0.680126705812254,0
269,162,66,-0.6695094826025525,0
270,162,65,-0.7320660576597947,0
271,160,65,-0.7698487672328702,0
272,160,66,-0.7095150559141985,0
273,160,66,-0.7014989990650429,0
274,158,67,-0.6584980315950452,0
275,156,67,-0.6595419109801515,0
276,156,67,-0.6588326450998647,0
277,156,66,-0.713388197762215,0
278,156,66,-0.7160617355608337,0
279,159,65,-0.7434943657929034,0
280,161,64,-0.7632330016933337,0
281,159,65,-0.6880356932667564,0
282,159,66,-0.6223943586931636,0
283,159,66,-0.6193255793961362,0
284,159,66,-0.6179837945389227,0
285,158,66,-0.6097474300238901,0
286,159,66,-0.6048974301765339,0
287,158,66,-0.5992256288051249,0
288,159,65,-0.6334726824384392,0
289,160,65,-0.6313282088777464,0
290,158,64,-0.6900929827969935,0
291,157,63,-0.725207588891933,0
292,155,62,-0.7781606178269408,0
293,154,62,-0.7742980240708834,0
294,154,63,-0.7053717509638204,0
295,151,63,-0.683713752402034,0
296,151,64,-0.6613570768368641,0
297,150,64,-0.6635733709676401,0
298,147,65,-0.626991303808261,0
299,147,65,-0.6322001772144518,0
300,147,64,-0.6904937990640951,0
301,147,64,-0.6923847580028428,0
302,148,63,-0.7554155973300999,0
303,148,63,-0.75638043581999,0
304,147,63,-0.7932427900403468,0
305,144,64,-0.7556972232812745,0
306,142,65,-0.7135500535067308,0
307,143,65,-0.6772872972442906,0
308,144,64,-0.7426881839125394,0
309,146,64,-0.7031109138391162,0
310,147,64,-0.7069946693789803,0
311,146,64,-0.7066425051328383,0
312,147,64,-0.7029323460741557,0
313,148,64,-0.6964837182893074,0
314,147,64,-0.6966152820733964,0
315,146,65,-0.6220554409707961,0
316,143,66,-0.5892026701379632,0
317,141,67,-0.561925471140637,0
318,140,67,-0.5504793896638853,0
319,142,67,-0.5076518625040604,0
320,140,67,-0.4972596926820529,0
321,138,68,-0.4566126530661836,0
322,138,68,-0.45392892647527106,0
323,139,67,-0.4805071429837676,0
324,141,67,-0.490295615971479,0
325,138,68,-0.46089591059578877,0
326,137,68,-0.45640797706065994,0
327,140,67,-0.48334413278593047,0
328,139,67,-0.48793060305273456,0
329,138,67,-0.48849684660300907,0
330,139,66,-0.5655622803138226,0
331,139,67,-0.5316677961937216,0
332,138,67,-0.5328750998779265,0
333,138,67,-0.5258882418970439,0
334,138,67,-0.5258388010199974,0
335,135,67,-0.512678819375285,0
336,134,68,-0.4386977063721838,0
337,137,67,-0.4733654408177222,0
338,137,67,-0.4713976462229016,0
339,136,67,-0.4698638935966278,0
340,136,66,-0.5289927937902371,0
341,135,66,-0.5152962016776996,0
342,135,66,-0.5147206953118416,0
343,136,66,-0.5151195225302923,0
344,135,66,-0.5073955431973423,0
345,133,67,-0.4734464239861677,0
346,132,68,-0.40944681058142807,0
347,134,67,-0.44421349886542655,0
348,132,68,-0.40941797435734545,0
349,134,68,-0.38405092728542284,0
350,134,68,-0.3898293432708283,0
351,133,69,-0.35706744590773953,0
352,132,68,-0.4090303709986597,0
353,129,69,-0.37848422285176414,0
354,131,69,-0.39483242420952364,0
355,130,69,-0.3870201139734831,0
356,128,70,-0.3600308169356299,0
357,129,70,-0.3627911459609618,0
358,131,70,-0.3698981871292358,0
359,131,71,-0.30121978709226593,0
360,128,72,-0.25962887827073927,0
361,128,72,-0.25851989451562757,0
362,128,72,-0.247855559953166,0
363,126,72,-0.23001355589390868,0
364,127,72,-0.2346023428768399,0
365,128,71,-0.26291084758014904,0
366,127,71,-0.2685834997381039,0
367,125,71,-0.3170222661947787,0
368,125,71,-0.3131218586490445,0
369,122,72,-0.280729223664473,0
370,123,73,-0.22081205808799267,0
371,123,74,-0.14889598129326032,0
372,123,74,-0.13853300660624654,0
373,121,74,-0.13207025997582378,0
374,120,74,-0.1352379892604381,0
375,122,74,-0.14105462733199375,0
376,122,74,-0.13961566707361045,0
377,121,75,-0.07111143172953006,0
378,120,75,-0.05903551389006452,0
379,118,76,-0.03195902305664049,0
380,116,77,-0.0019730092236727613,0
381,118,76,-0.02912584583032867,0
382,118,76,-0.03226011569369575,0
383,118,76,-0.03273495680643237,0
384,118,76,-0.032665638076048255,0
385,118,76,-0.029442594982590435,0
386,118,75,-0.09977549803655847,0
387,117,75,-0.09163846828256056,0
388,117,75,-0.07771723220350396,0
389,117,74,-0.14702486669644713,0
390,118,74,-0.15023310500429943,0
391,119,74,-0.17054274986956444,0
392,120,75,-0.11175089400021535,0
393,122,75,-0.1260609064739401,0
394,124,74,-0.15343768499085855,0
395,125,74,-0.15260514856774535,0
396,123,74,-0.13847152205409657,0
397,124,73,-0.20642910253482114,0
398,124,73,-0.20311764919191774,0
399,122,74,-0.1647703345285481,0
400,122,75,-0.1040554845941915,0
401,124,75,-0.10851694505463456,0
402,123,76,-0.04434457333079991,0
403,123,76,-0.0472851339425506,0
404,123,77,0.018590507118678944,0
405,123,77,0.020653229209310665,0
406,124,76,-0.045291553514362023,0
407,122,76,-0.07981322743911733,0
408,124,76,-0.04804526186988369,0
409,122,77,-0.019881849470366433,0
410,122,76,-0.037371639327575396,0
411,122,76,-0.03594080210194079,0
412,123,76,-0.043606000144391144,0
413,123,75,-0.11374314934470021,0
414,123,75,-0.11291272774793469,0
415,123,75,-0.11763382295848715,0
416,124,75,-0.1141943176440327,0
417,126,74,-0.1463612013961756,0
418,127,74,-0.156645793097523,0
419,126,75,-0.140368577460722,0
420,127,75,-0.13995281765000983,0
421,126,75,-0.13410905081542296,0
422,128,74,-0.16712916259417399,0
423,128,75,-0.14611869325857696,0
424,126,75,-0.12814027305921627,0
425,127,75,-0.134260129164868,0
426,128,75,-0.13602480825498786,0
427,126,76,-0.11785357187498448,0
428,126,76,-0.11304828141812323,0
429,127,75,-0.18007516769674112,0
430,126,76,-0.09948537158063119,0
431,124,76,-0.08782057163534773,0
432,123,76,-0.08484467437952845,0
433,123,76,-0.08922807928862313,0
434,122,76,-0.08669792643271648,0
435,123,76,-0.08695982136519888,0
436,122,76,-0.09267776760252673,0
437,120,77,-0.05504216022070978,0
438,119,77,-0.05653773667503628,0
439,118,77,-0.056024590628021544,0
440,119,78,0.0018416554599207302,0
441,118,78,0.0013275816992063482,0
442,118,78,0.0025931181760643087,0
443,118,78,0.009268091845060554,0
444,118,78,0.00859904436421857,0
445,118,77,-0.05201129024821057,0
446,118,77,-0.04878094751826211,0
447,117,78,-0.021352900517831584,0
448,117,78,-0.01811876994515842,0
449,116,78,-0.0527754409816589,0
450,116,78,-0.04711566320112979,0
451,114,78,-0.039735520255799205,0
452,114,79,0.024685531405684743,0
453,114,79,0.024938210808159056,0
454,112,79,0.0413692202330094,0
455,114,78,-0.004834623073038529,0
456,116,78,-0.00402683689892001,0
457,115,78,-0.004086697042730521,0
458,113,77,-0.05503273845373769,0
459,111,77,-0.041713911015194755,0
460,112,76,-0.11860110762028853,0
461,113,76,-0.1264003924626195,0
462,113,76,-0.12742944666848416,0
463,114,75,-0.1981130779972773,0
464,113,75,-0.18739724126136934,0
465,111,76,-0.15659747769323076,0
466,113,75,-0.23390357393474914,0
467,113,76,-0.15997355929046533,0
468,114,76,-0.16124768695024613,0
469,114,76,-0.15921509428802894,0
470,113,76,-0.1572483432075569,0
471,115,75,-0.18975044326312854,0
472,114,75,-0.19210482237316684,0
473,115,75,-0.18881115960111855,0
474,117,74,-0.26221072849273697,0
475,116,73,-0.31177727445416165,0
476,117,72,-0.38134477740075456,0
477,117,72,-0.3792773481078075,0
478,117,72,-0.3835703989785725,0
479,120,71,-0.4149849424363674,0
480,119,71,-0.4184254426897132,0
481,116,72,-0.39141639141073026,0
482,118,72,-0.39078106580242095,0
483,117,72,-0.38788647161271,0
484,117,72,-0.3878632501646462,0
485,119,72,-0.3980420102196331,0
486,118,73,-0.32570034375830803,0
487,119,72,-0.3991422999924725,0
488,116,73,-0.3698834082852954,0
489,116,74,-0.2980975858630518,0
490,115,75,-0.22944712819493362,0
491,113,76,-0.15025467321253017,0
492,114,76,-0.14661990184546084,0
493,112,75,-0.19712692736391546,0
494,110,76,-0.17491813869635733,0
495,110,76,-0.17830988812447685,0
496,109,76,-0.17759321280942458,0
497,109,77,-0.10622427611100647,0
498,111,77,-0.12379420026145453,0
499,111,77,-0.12768676515841434,0
500,112,76,-0.21449721626644533,0
501,111,76,-0.20554368785289626,0
502,112,76,-0.21189833803755392,0
503,114,75,-0.24273591405206388,0
