Episode,Step,Avg_Success,Avg_Reward,Avg_Cost,Avg_Collision
0,22,0,-5.405337776988745,0,100
1,23,0,-5.291588701424189,0,100
2,31,0,-5.450363793798412,0,100
3,66,0,-5.835991974163335,0,100
4,65,20,-4.51026442963448,0,80
5,87,16,-5.062872293168463,0,83
6,100,14,-5.250759422142697,0,85
7,109,12,-5.451451457538269,0,87
8,118,11,-5.653825216224707,0,88
9,108,10,-5.602919838853813,0,90
10,108,9,-5.642705047415637,0,90
11,121,8,-5.823626040438437,0,91
12,121,7,-5.897678687341165,0,92
13,113,14,-5.404987352531082,0,85
14,107,13,-5.419769634210267,0,86
15,102,12,-5.411890228654443,0,87
16,97,11,-5.416960703343327,0,88
17,93,16,-5.060170504494838,0,83
18,89,15,-5.0774141038547995,0,84
19,97,15,-5.238274727759108,0,85
20,95,14,-5.254131474396629,0,85
21,104,13,-5.17616404927131,0,81
22,110,13,-5.289217033602931,0,82
23,109,12,-5.315018678770154,0,83
24,111,16,-5.090698425906957,0,80
25,112,15,-5.133974099341265,0,80
26,119,14,-5.097408909252476,0,77
27,125,14,-5.037240311400443,0,75
28,131,13,-4.956630372639948,0,72
29,132,16,-4.810553810004846,0,70
30,138,16,-4.766582200202808,0,67
31,143,15,-4.712660328198183,0,65
32,148,15,-4.650683626903463,0,63
33,149,17,-4.520465452132051,0,61
34,150,17,-4.608576799906326,0,62
35,153,16,-4.687181900770004,0,63
36,157,18,-4.596044705334763,0,62
37,159,21,-4.496754951257763,0,60
38,163,20,-4.434140271498668,0,58
39,166,20,-4.406044776403405,0,57
40,166,19,-4.456279473711863,0,58
41,164,21,-4.331271361357678,0,57
42,161,23,-4.209706966979485,0,55
43,164,22,-4.172383402736531,0,54
44,163,24,-4.064904017356175,0,53
45,166,23,-4.013474817547554,0,52
46,169,23,-3.9979824718076533,0,51
47,172,22,-3.967490019968295,0,50
48,172,24,-3.8987923614394258,0,48
49,174,24,-3.8719624607477816,0,48
50,171,25,-3.774012214506786,0,47
51,172,25,-3.8235422141311366,0,48
52,174,24,-3.797179367457263,0,47
53,174,25,-3.721608149515406,0,46
54,172,25,-3.7574396137299284,0,47
55,174,25,-3.730392658752765,0,46
56,172,26,-3.6580845640846587,0,45
57,174,25,-3.6370711980512955,0,44
58,176,25,-3.7060745259949095,0,45
59,178,25,-3.683840664718779,0,45
60,180,24,-3.660282566336256,0,44
61,182,24,-3.6392552839919694,0,43
62,184,23,-3.6191440017041066,0,42
63,183,25,-3.5545125389563452,0,42
64,181,24,-3.589583030728206,0,43
65,183,25,-3.5506799900569987,0,42
66,185,25,-3.534443467794721,0,41
67,187,26,-3.4927273764675086,0,41
68,187,27,-3.4561261648153088,0,40
69,188,27,-3.491110217343365,0,41
70,186,28,-3.4281428404771668,0,40
71,187,27,-3.4152138082766013,0,40
72,185,28,-3.354897620272773,0,39
73,187,28,-3.3419659790642244,0,39
74,188,28,-3.32513333033911,0,38
75,190,27,-3.314144439531016,0,38
76,189,28,-3.2609329948445285,0,37
77,188,29,-3.21134575975609,0,37
78,188,30,-3.1707999138970644,0,36
79,189,30,-3.2164689284031285,0,37
80,190,30,-3.190126498839949,0,37
81,192,30,-3.1720970053852287,0,36
82,193,30,-3.1559973189820543,0,36
83,194,29,-3.146247635352146,0,35
84,193,30,-3.096863419587787,0,35
85,191,31,-3.0492254728483945,0,34
86,190,32,-3.0041082833749164,0,34
87,190,32,-2.9650294879901264,0,34
88,188,33,-2.9263767029028047,0,33
89,189,34,-2.8925825819272077,0,33
90,187,35,-2.8466256772897016,0,32
91,187,34,-2.8776762829235416,0,33
92,188,34,-2.9188065876615807,0,34
93,187,35,-2.8792034947522205,0,34
94,189,34,-2.8706810564391687,0,33
95,190,34,-2.863766562596311,0,33
96,190,35,-2.837624149096901,0,32
97,189,35,-2.7982671333319353,0,32
98,188,35,-2.8265399653557894,0,33
99,187,36,-2.7878873782697338,0,33
100,188,36,-2.7899972542514297,0,33
101,189,36,-2.7947399828884953,0,33
102,191,36,-2.759971479379965,0,32
103,191,36,-2.7396282661400253,0,32
104,193,35,-2.764745657196963,0,32
105,194,35,-2.7057162568484454,0,31
106,195,35,-2.7060281744017085,0,31
107,195,36,-2.635104455964156,0,30
108,194,37,-2.5562330337404093,0,28
109,197,37,-2.525822382064052,0,28
110,199,37,-2.485621986039896,0,27
111,196,38,-2.3945171275363646,0,26
112,198,39,-2.3256827821793378,0,25
113,201,39,-2.342418727693166,0,25
114,202,40,-2.273914481839183,0,24
115,204,40,-2.285922219762597,0,24
116,205,40,-2.2811983323656206,0,24
117,206,40,-2.277418298167195,0,24
118,207,41,-2.2196124717896053,0,23
