Episode,Step,Avg_Success,Avg_Reward,Avg_Cost,Avg_Collision
0,92,0,-6.881926708156243,0,100
1,118,0,-6.969040923868306,0,100
2,85,0,-6.485995277296752,0,100
3,88,0,-6.612295954309957,0,100
4,98,0,-6.731275840703165,0,100
5,104,0,-6.852504688618258,0,100
6,102,0,-6.816901015244574,0,100
7,90,0,-6.594546774076662,0,100
8,88,0,-6.473133603778681,0,100
9,82,0,-6.376682532434643,0,100
10,87,0,-6.47005125575048,0,100
11,87,0,-6.466734598328912,0,100
12,91,0,-6.537538593630486,0,100
13,85,7,-5.999142979799736,0,92
14,82,6,-6.025277550514632,0,93
15,82,6,-6.0543797490645375,0,93
16,79,5,-5.971565462234567,0,94
17,77,5,-5.973485013816066,0,94
18,80,10,-5.660499500436919,0,89
19,76,10,-5.629992908362965,0,90
20,74,9,-5.615372408920026,0,90
21,71,13,-5.304938808735642,0,86
22,72,13,-5.396696937691757,0,86
23,72,12,-5.4450105213872275,0,87
24,73,12,-5.528780755629923,0,88
25,75,11,-5.596181475759924,0,88
26,74,11,-5.586636386748069,0,88
27,72,10,-5.568194750917753,0,89
28,74,10,-5.61904345621042,0,89
29,72,13,-5.401071285670393,0,86
30,73,16,-5.189667095929713,0,83
31,77,15,-5.286061829330777,0,84
32,80,15,-5.354400846955534,0,84
33,78,14,-5.376331421728162,0,85
34,79,14,-5.4253654024930125,0,85
35,83,13,-5.490475991802315,0,86
36,84,13,-5.534562588641092,0,86
37,85,13,-5.595737888940389,0,86
38,85,12,-5.605523286270209,0,87
39,89,12,-5.676575840732449,0,87
40,91,12,-5.722174206710761,0,87
41,89,11,-5.712943581250762,0,88
42,88,13,-5.566092692842366,0,86
43,87,13,-5.5400149522057625,0,86
44,90,13,-5.579758530659253,0,86
45,95,13,-5.5306529853113435,0,84
46,96,12,-5.557517946708183,0,85
47,100,12,-5.523930281590348,0,83
48,101,12,-5.550089550356888,0,83
49,101,14,-5.421071180556864,0,82
50,105,13,-5.385597532957285,0,80
51,109,13,-5.344768288101512,0,78
