Episode,Step,Avg_Success,Avg_Reward,Avg_Cost,Avg_Collision
0,15,0,-3.23040027031675,0,100
1,37,0,-5.5965396710671484,0,100
2,28,0,-4.881683717481792,0,100
3,71,0,-4.958949934625707,0,100
4,63,0,-4.6464805954543404,0,100
5,68,0,-4.5283277175525045,0,100
6,62,0,-4.534313840883052,0,100
7,58,0,-4.461958194988256,0,100
8,54,0,-4.305092127647691,0,100
9,59,0,-4.197794988901296,0,100
10,57,0,-4.17217674051889,0,100
11,55,0,-4.115551754488176,0,100
12,52,0,-4.035523946831605,0,100
13,49,0,-3.989513800151274,0,100
14,47,0,-3.938462808794429,0,100
15,47,0,-3.926156392790517,0,100
16,46,0,-3.9060057698060358,0,100
17,47,0,-3.8287402364163023,0,100
18,46,0,-3.8117560588800283,0,100
19,45,0,-3.7323194371672797,0,100
20,44,0,-3.7225240505918227,0,100
21,46,0,-3.695410254635466,0,100
22,46,0,-3.683860124687825,0,100
23,46,0,-3.731699501020406,0,100
24,47,0,-3.799345913838333,0,100
25,46,0,-3.8046807421906124,0,100
26,45,0,-3.817490893253745,0,100
27,46,0,-3.829328912535597,0,100
28,46,0,-3.8178782721683846,0,100
29,46,0,-3.768296186122219,0,100
30,45,0,-3.7608599580527233,0,100
31,45,0,-3.7142705838839447,0,100
32,44,0,-3.6848086206801147,0,100
33,44,0,-3.7105784111376767,0,100
34,44,0,-3.7227120929445454,0,100
35,44,0,-3.746788353961367,0,100
36,43,0,-3.7479609357666246,0,100
37,42,0,-3.731025123824733,0,100
38,42,0,-3.736123836393325,0,100
39,42,0,-3.735841829140554,0,100
40,42,0,-3.7342079585366994,0,100
41,41,0,-3.7228596254578967,0,100
42,41,0,-3.7173586111315418,0,100
43,41,0,-3.7411190437507518,0,100
44,41,0,-3.744112567952834,0,100
45,40,0,-3.7405388156513926,0,100
46,40,0,-3.754948879302321,0,100
47,41,0,-3.754668250240987,0,100
48,40,0,-3.810970818307916,0,100
49,42,0,-3.8345634594809237,0,100
50,42,0,-3.841711700133173,0,100
51,41,0,-3.833207336063494,0,100
52,40,0,-3.8250252232893853,0,100
53,40,0,-3.811643749472717,0,100
54,40,0,-3.8222899800986023,0,100
55,39,0,-3.8108500870012643,0,100
56,39,0,-3.8087376894463407,0,100
57,38,0,-3.798809905878631,0,100
58,43,0,-3.7774130391567806,0,98
59,42,0,-3.780497927176293,0,98
60,42,0,-3.7725150520252146,0,98
61,41,0,-3.770386360927718,0,98
62,41,0,-3.7716311407167513,0,98
63,42,0,-3.801639112975238,0,98
64,42,0,-3.8008115747122457,0,98
65,41,0,-3.8009689454111966,0,98
66,45,0,-3.7760145769895113,0,97
67,45,0,-3.7804396222313965,0,97
68,46,0,-3.785944978696679,0,97
69,47,0,-3.8013777525131447,0,97
70,49,0,-3.8320858912429427,0,97
71,49,0,-3.8860894692183034,0,97
72,49,0,-3.932301501063592,0,97
73,49,0,-3.9706019847616933,0,97
74,50,0,-3.9803106167281173,0,97
75,51,0,-3.98333851149889,0,97
