Episode,Step,Avg_Success,Avg_Reward,Avg_Cost,Avg_Collision
0,21,0,-5.235702669713646,0,100
1,45,0,-6.597374578690506,0,100
2,45,0,-6.1219900517219985,0,100
3,41,0,-6.106343911131262,0,100
4,37,0,-6.106963800720405,0,100
5,35,0,-6.056191993013878,0,100
6,33,0,-6.041774728260601,0,100
7,34,0,-6.091460342395294,0,100
8,43,0,-6.295084988174494,0,100
9,42,0,-6.136315703339642,0,100
10,42,0,-6.212327782863709,0,100
11,43,0,-6.315051285700368,0,100
12,43,0,-6.307843682226331,0,100
13,41,0,-6.235442906431023,0,100
14,41,0,-6.29197620061459,0,100
15,41,0,-6.305420476779545,0,100
16,44,0,-6.383310662426726,0,100
17,42,0,-6.334132110863316,0,100
18,46,0,-6.272219418113788,0,100
19,44,0,-6.210062617185395,0,100
20,43,0,-6.15688785252548,0,100
21,42,0,-6.150629247840036,0,100
22,42,0,-6.130163200224596,0,100
23,41,0,-6.145889212711761,0,100
24,41,0,-6.175406615030661,0,100
25,40,0,-6.159718893365118,0,100
26,40,0,-6.185657535338747,0,100
27,39,0,-6.166924050381048,0,100
28,39,0,-6.155086613889455,0,100
29,39,0,-6.158840556042075,0,100
30,40,0,-6.196461896565104,0,100
31,40,0,-6.144426543704867,0,100
32,42,0,-6.1048316168978065,0,100
33,42,0,-6.139701840202393,0,100
34,42,0,-6.134611497734607,0,100
35,41,0,-6.117460429016824,0,100
36,42,0,-6.134427747834707,0,100
37,42,0,-6.128292001006469,0,100
38,43,0,-6.1286561505649635,0,100
39,42,0,-6.099862193194713,0,100
40,42,0,-6.080362395206665,0,100
41,42,0,-6.116514247857551,0,100
42,42,0,-6.103165688213986,0,100
43,42,0,-6.103912646717038,0,100
44,42,0,-6.084534583285858,0,100
45,42,0,-6.100303393377228,0,100
46,43,0,-6.133589004693854,0,100
47,43,0,-6.133947737497844,0,100
48,43,0,-6.135341303548818,0,100
49,42,0,-6.129595443617872,0,100
50,43,0,-6.153763756760157,0,100
51,43,0,-6.14954045039863,0,100
52,43,0,-6.1480646962139325,0,100
53,43,0,-6.142327725940521,0,100
54,43,0,-6.158732817916131,0,100
55,43,1,-6.0047826404762805,0,98
56,43,1,-6.009107957015339,0,98
57,44,1,-5.997368488566406,0,98
58,45,1,-6.13377475879087,0,98
59,46,1,-6.109551876019335,0,98
60,46,1,-6.096258819367025,0,98
61,46,1,-6.088431398275075,0,98
62,46,1,-6.1115601016085535,0,98
63,46,1,-6.104808327569742,0,98
64,48,1,-6.187239615505733,0,98
65,48,1,-6.158729283774819,0,98
66,49,1,-6.1679584094623054,0,98
67,48,1,-6.15428296700472,0,98
68,48,1,-6.153073007746465,0,98
69,49,1,-6.177480764832841,0,98
70,52,1,-6.149621077116151,0,97
71,53,1,-6.164416913484577,0,97
72,53,1,-6.17415981278384,0,97
73,52,1,-6.171085857488711,0,97
74,53,1,-6.194250814744931,0,97
75,56,1,-6.324783975383878,0,97
76,55,1,-6.317499423426587,0,97
77,58,1,-6.44978114681035,0,97
78,58,1,-6.503898623926431,0,97
79,60,1,-6.531501989959537,0,97
80,62,1,-6.594883229659804,0,97
81,65,1,-6.51937740018587,0,96
82,65,1,-6.53132332232057,0,96
83,66,1,-6.526049035258779,0,96
84,66,1,-6.618157065025207,0,96
85,66,1,-6.607237918779833,0,96
86,65,1,-6.59891154283171,0,96
87,68,1,-6.547044792850655,0,95
88,68,1,-6.572848263246818,0,95
89,69,1,-6.593289551757102,0,95
90,69,1,-6.642103196129358,0,95
91,71,1,-6.598667117526207,0,94
92,74,1,-6.557861691047174,0,93
93,76,1,-6.494546765128602,1,92
94,76,1,-6.545362228850133,1,92
95,76,1,-6.602258628902622,1,92
96,78,1,-6.547590006054728,1,91
97,79,1,-6.575753316252795,1,91
98,81,1,-6.572642533754912,1,90
99,81,1,-6.636036885866933,1,91
100,81,1,-6.661938430086748,1,91
101,84,1,-6.644342857158381,1,90
102,86,1,-6.624674641863721,1,89
103,88,1,-6.702432367452866,1,89
104,90,1,-6.745596372573277,1,89
105,93,1,-6.727931697277313,1,88
106,93,1,-6.799645549847705,2,88
107,95,1,-6.83019637149861,2,88
108,96,1,-6.856046536476574,2,88
109,96,1,-6.868434518641084,2,88
110,95,1,-6.847445236365534,2,88
111,95,1,-6.830159553522103,2,88
112,95,1,-6.825591896816482,2,88
113,96,1,-6.85171557439186,2,88
114,97,1,-6.870503159749064,2,88
115,97,1,-6.871195174461905,2,88
116,97,2,-6.782248225008866,2,87
