Episode,Step,Avg_Success,Avg_Reward,Avg_Cost,Avg_Collision
0,53,0,-4.154582161892904,0,100
1,55,0,-4.811958121819771,0,100
2,44,0,-4.482338493680193,0,100
3,41,0,-4.132248408503074,0,100
4,36,0,-4.052309458231321,0,100
5,38,0,-4.191796063047756,0,100
6,37,0,-4.222983594376793,0,100
7,39,0,-4.198162420121662,0,100
8,38,0,-4.147057916910853,0,100
9,37,0,-4.146336856851121,0,100
10,35,0,-4.083009833845691,0,100
11,34,0,-4.030744758623769,0,100
12,36,0,-4.08407998002188,0,100
13,41,0,-4.072401480013339,0,100
14,41,0,-4.094781078456435,0,100
15,40,0,-4.08020191738251,0,100
16,40,0,-4.1203007514499514,0,100
17,39,0,-4.091731939615581,0,100
18,38,0,-4.080026413652951,0,100
19,39,0,-4.198201089255235,0,100
20,39,0,-4.203317752104167,0,100
21,38,0,-4.185714705335571,0,100
22,38,0,-4.1979598377836975,0,100
23,38,0,-4.259463718080042,0,100
24,37,0,-4.220353176981734,0,100
25,38,0,-4.2078114483791484,0,100
26,37,0,-4.161357977665493,0,100
27,36,0,-4.131001220630163,0,100
28,36,0,-4.087337885851569,0,100
29,35,0,-4.063236110452514,0,100
30,35,0,-4.073248639384298,0,100
31,35,0,-4.09195736702236,0,100
32,35,0,-4.108940628326144,0,100
33,35,0,-4.120108199275658,0,100
34,34,0,-4.089402051466875,0,100
35,35,0,-4.115992996839042,0,100
36,34,0,-4.117198203058521,0,100
37,34,0,-4.110567722172977,0,100
38,34,0,-4.0983875193011885,0,100
39,34,0,-4.08830256798301,0,100
40,34,0,-4.162268773127147,0,100
41,33,0,-4.144621762178022,0,100
42,33,0,-4.1310227588223505,0,100
43,32,0,-4.109683490704728,0,100
44,33,0,-4.120648625086728,0,100
45,32,0,-4.1086830317076615,0,100
46,32,0,-4.112199780796104,0,100
47,32,0,-4.090382203107917,0,100
48,31,0,-4.070104512611579,0,100
49,32,0,-4.078562244453788,0,100
50,32,0,-4.0727270141712735,0,100
51,32,0,-4.056909112669298,0,100
52,32,0,-4.063355297462895,0,100
53,31,0,-4.065112873961307,0,100
54,32,0,-4.069198152420656,0,100
55,31,0,-4.065775332521168,0,100
56,32,0,-4.066291570546909,0,100
57,31,0,-4.052094193341904,0,100
58,31,0,-4.042537352549562,0,100
59,31,0,-4.038509133316378,0,100
60,31,0,-4.051745153037849,0,100
61,32,0,-4.045954611788822,0,100
62,32,0,-4.061849161781004,0,100
63,34,0,-4.102072926439973,0,100
64,38,0,-4.096296367217795,0,98
65,40,1,-3.987007799455817,0,96
66,40,1,-3.9706463609059095,0,97
67,40,1,-3.960837468301072,0,97
68,40,1,-3.965658198382019,0,97
69,40,1,-3.9596062516407398,0,97
70,43,1,-3.9310982709456717,0,95
71,44,1,-3.946149817117929,0,95
72,44,1,-3.942527791376518,0,95
73,46,1,-3.9771116505478648,0,95
74,45,1,-3.9632581516778433,0,96
75,45,1,-3.952992899624088,0,96
76,46,1,-3.96156183831462,0,96
77,46,1,-3.97644588282447,0,96
78,45,1,-3.9685184901235564,0,96
79,45,1,-3.9566432090461774,0,96
80,44,1,-3.9341597003089204,0,96
81,44,1,-3.9330967349077106,0,96
82,44,1,-3.92708970643778,0,96
83,45,1,-3.9425444673796184,0,96
84,48,1,-3.9756677811999745,0,95
85,49,1,-4.015788214950267,0,95
86,52,1,-4.001413998657374,0,94
87,53,1,-4.021307944137556,0,94
88,53,1,-4.042046354117696,0,94
89,54,1,-4.079426252383499,0,94
90,56,1,-4.10852919483225,0,94
91,55,1,-4.102290252067667,0,94
92,55,1,-4.104123927288271,0,94
93,56,1,-4.1175392510458115,0,94
94,55,1,-4.110149563335227,0,94
95,55,1,-4.105116655177895,0,94
96,55,1,-4.1055230925145345,0,94
97,55,1,-4.09556808922858,0,94
98,55,1,-4.120860506696345,0,94
99,54,1,-4.114452838288248,0,95
100,54,1,-4.105537276920781,0,95
101,54,1,-4.084185837298551,0,95
102,54,1,-4.0928069929274855,0,95
103,54,1,-4.0935940164243,0,95
104,54,1,-4.0942423176680816,0,95
105,55,1,-4.096372817991046,0,95
106,55,1,-4.087536203920585,0,95
107,55,1,-4.080692593030376,0,95
108,55,1,-4.079832723633131,0,95
109,55,1,-4.072055397856725,0,95
110,55,1,-4.073339611942624,0,95
111,55,1,-4.076801746891556,0,95
112,56,1,-4.094004970451984,0,95
113,55,1,-4.0867894605667745,0,95
114,55,1,-4.073799341859244,0,95
115,55,1,-4.077857129590534,0,95
116,55,1,-4.062240444699251,0,95
117,54,1,-4.0581664671405955,0,95
118,54,1,-4.051804404587651,0,95
119,55,1,-4.034196889510254,0,95
120,55,1,-4.0292751657197865,0,95
121,54,1,-4.024948889648417,0,95
122,54,1,-4.009132866507912,0,95
123,54,1,-3.985864411799753,0,95
124,54,1,-4.015818411822015,0,95
125,54,1,-4.01260762476149,0,95
126,54,1,-4.0152759036726415,0,95
127,54,1,-4.016108574576406,0,95
128,54,1,-4.025815216193637,0,95
129,54,1,-4.025540285406364,0,95
130,54,1,-4.011839035379139,0,95
131,54,1,-4.02455643104147,0,95
132,54,1,-4.024370225907673,0,95
133,54,1,-4.019965258173084,0,95
134,55,1,-4.038731863258777,0,95
135,54,1,-4.022871705505217,0,95
136,55,1,-4.01698018042543,0,95
137,55,1,-4.014698837024021,0,95
138,55,1,-4.015520829392458,0,95
139,55,1,-4.015660053311708,0,95
140,55,1,-3.9858216587381095,0,95
141,55,1,-3.9846187558697195,0,95
142,55,1,-3.9816082699896422,0,95
143,55,1,-3.9857690850851712,0,95
144,55,1,-3.9769732876885744,0,95
145,55,1,-3.9755545173604103,0,95
146,56,1,-3.997677399610816,0,95
147,56,1,-3.99570619872929,0,95
148,56,1,-3.9937588425788046,0,95
149,55,1,-3.9849282056248696,0,95
