Episode,Step,Avg_Success,Avg_Reward,Avg_Cost,Avg_Collision
0,53,0,-4.154582161892904,0,100
1,55,0,-4.811958121819771,0,100
2,44,0,-4.482338493680193,0,100
3,41,0,-4.132248408503074,0,100
4,36,0,-4.052309458231321,0,100
5,38,0,-4.191796063047756,0,100
6,37,0,-4.222983594376793,0,100
7,39,0,-4.198162420121662,0,100
8,38,0,-4.147057916910853,0,100
9,37,0,-4.146336856851121,0,100
10,35,0,-4.083009833845691,0,100
11,34,0,-4.030744758623769,0,100
12,36,0,-4.08407998002188,0,100
13,41,0,-4.072401480013339,0,100
14,41,0,-4.094781078456435,0,100
15,40,0,-4.08020191738251,0,100
16,40,0,-4.1203007514499514,0,100
17,39,0,-4.091731939615581,0,100
18,38,0,-4.080026413652951,0,100
19,39,0,-4.198201089255235,0,100
20,39,0,-4.203317752104167,0,100
21,38,0,-4.185714705335571,0,100
22,38,0,-4.1979598377836975,0,100
23,38,0,-4.259463718080042,0,100
24,37,0,-4.220353176981734,0,100
25,38,0,-4.2078114483791484,0,100
26,37,0,-4.161357977665493,0,100
27,36,0,-4.131001220630163,0,100
28,36,0,-4.087337885851569,0,100
29,35,0,-4.063236110452514,0,100
30,35,0,-4.073248639384298,0,100
31,35,0,-4.09195736702236,0,100
32,35,0,-4.108940628326144,0,100
33,35,0,-4.120108199275658,0,100
34,34,0,-4.089402051466875,0,100
35,35,0,-4.115992996839042,0,100
36,34,0,-4.117198203058521,0,100
37,34,0,-4.110567722172977,0,100
38,34,0,-4.0983875193011885,0,100
39,34,0,-4.08830256798301,0,100
40,34,0,-4.162268773127147,0,100
41,33,0,-4.144621762178022,0,100
42,33,0,-4.1310227588223505,0,100
43,32,0,-4.109683490704728,0,100
44,33,0,-4.120648625086728,0,100
45,32,0,-4.1086830317076615,0,100
46,32,0,-4.112199780796104,0,100
47,32,0,-4.090382203107917,0,100
48,31,0,-4.070104512611579,0,100
49,32,0,-4.078562244453788,0,100
50,32,0,-4.0727270141712735,0,100
51,32,0,-4.056909112669298,0,100
52,32,0,-4.063355297462895,0,100
53,31,0,-4.065112873961307,0,100
54,32,0,-4.069198152420656,0,100
55,31,0,-4.065775332521168,0,100
56,32,0,-4.066291570546909,0,100
57,31,0,-4.052094193341904,0,100
58,31,0,-4.042537352549562,0,100
59,31,0,-4.038509133316378,0,100
60,31,0,-4.051745153037849,0,100
61,32,0,-4.045954611788822,0,100
62,33,0,-4.074930825231503,0,100
63,34,0,-4.0727263438864725,0,100
64,34,0,-4.080751370836347,0,100
65,36,0,-4.126045661241843,0,100
66,35,0,-4.114987772045696,0,100
67,35,0,-4.104433523906022,0,100
68,34,0,-4.095467804381769,0,100
69,34,0,-4.087992703892035,0,100
70,34,0,-4.07673842887933,0,100
71,34,0,-4.062892276131253,0,100
72,33,0,-4.072870741774177,0,100
73,34,0,-4.091468051098009,0,100
74,34,0,-4.081234873207334,0,100
75,34,0,-4.101519825902056,0,100
76,36,0,-4.090792661517688,0,100
77,36,0,-4.092752173689289,0,100
78,36,0,-4.087832982914239,0,100
79,36,0,-4.083505653068687,0,100
